연번,위치주소(지번 비공개),조사년도,빈집유형,주택유형,철거 또는 활용동의,관리부서,데이터기준일자,위도,경도,좌표정확도,읍면,주거적합점수,관광숙박적합점수,추천용도
45,전라남도 담양군 봉산면 제월리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.2832175421132,126.968144223762,정확(리 단위),봉산면,5.0,25.5,관광·숙박(게스트하우스/카페)
46,전라남도 담양군 봉산면 제월리 산,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.2761980165593,126.956904986794,근사(읍면 단위),봉산면,5.0,25.5,관광·숙박(게스트하우스/카페)
47,전라남도 담양군 봉산면 제월리 산,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.2761980165593,126.956904986794,근사(읍면 단위),봉산면,5.0,25.5,관광·숙박(게스트하우스/카페)
48,전라남도 담양군 봉산면 신학리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.2736751754828,126.949924813835,정확(리 단위),봉산면,5.0,25.5,관광·숙박(게스트하우스/카페)
49,전라남도 담양군 봉산면 신학리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.2736751754828,126.949924813835,정확(리 단위),봉산면,5.0,25.5,관광·숙박(게스트하우스/카페)
50,전라남도 담양군 봉산면 신학리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.2736751754828,126.949924813835,정확(리 단위),봉산면,5.0,25.5,관광·숙박(게스트하우스/카페)
51,전라남도 담양군 봉산면 신학리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.2736751754828,126.949924813835,정확(리 단위),봉산면,5.0,25.5,관광·숙박(게스트하우스/카페)
52,전라남도 담양군 봉산면 신학리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.2736751754828,126.949924813835,정확(리 단위),봉산면,5.0,25.5,관광·숙박(게스트하우스/카페)
53,전라남도 담양군 봉산면 신학리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.2736751754828,126.949924813835,정확(리 단위),봉산면,5.0,25.5,관광·숙박(게스트하우스/카페)
54,전라남도 담양군 봉산면 신학리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.2736751754828,126.949924813835,정확(리 단위),봉산면,5.0,25.5,관광·숙박(게스트하우스/카페)
55,전라남도 담양군 봉산면 신학리 산,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.2761980165593,126.956904986794,근사(읍면 단위),봉산면,5.0,25.5,관광·숙박(게스트하우스/카페)
56,전라남도 담양군 봉산면 기곡리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.270729095636,126.970307675886,정확(리 단위),봉산면,5.0,25.5,관광·숙박(게스트하우스/카페)
57,전라남도 담양군 봉산면 기곡리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.270729095636,126.970307675886,정확(리 단위),봉산면,5.0,25.5,관광·숙박(게스트하우스/카페)
58,전라남도 담양군 봉산면 기곡리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.270729095636,126.970307675886,정확(리 단위),봉산면,5.0,25.5,관광·숙박(게스트하우스/카페)
59,전라남도 담양군 봉산면 기곡리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.270729095636,126.970307675886,정확(리 단위),봉산면,5.0,25.5,관광·숙박(게스트하우스/카페)
60,전라남도 담양군 봉산면 기곡리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.270729095636,126.970307675886,정확(리 단위),봉산면,5.0,25.5,관광·숙박(게스트하우스/카페)
61,전라남도 담양군 봉산면 기곡리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.270729095636,126.970307675886,정확(리 단위),봉산면,5.0,25.5,관광·숙박(게스트하우스/카페)
62,전라남도 담양군 봉산면 기곡리,2022,철거형,단독주택,미동의,도시과,2023-05-15,35.270729095636,126.970307675886,정확(리 단위),봉산면,5.0,25.5,관광·숙박(게스트하우스/카페)
63,전라남도 담양군 봉산면 연동리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.2634426256776,126.958094228582,정확(리 단위),봉산면,5.0,25.5,관광·숙박(게스트하우스/카페)
64,전라남도 담양군 봉산면 연동리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.2634426256776,126.958094228582,정확(리 단위),봉산면,5.0,25.5,관광·숙박(게스트하우스/카페)
65,전라남도 담양군 봉산면 연동리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.2634426256776,126.958094228582,정확(리 단위),봉산면,5.0,25.5,관광·숙박(게스트하우스/카페)
66,전라남도 담양군 봉산면 연동리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.2634426256776,126.958094228582,정확(리 단위),봉산면,5.0,25.5,관광·숙박(게스트하우스/카페)
67,전라남도 담양군 봉산면 유산리,2022,철거형,단독주택,미동의,도시과,2023-05-15,35.2547695747645,126.962647927187,정확(리 단위),봉산면,5.0,25.5,관광·숙박(게스트하우스/카페)
68,전라남도 담양군 봉산면 유산리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.2547695747645,126.962647927187,정확(리 단위),봉산면,5.0,25.5,관광·숙박(게스트하우스/카페)
69,전라남도 담양군 봉산면 유산리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.2547695747645,126.962647927187,정확(리 단위),봉산면,5.0,25.5,관광·숙박(게스트하우스/카페)
70,전라남도 담양군 봉산면 유산리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.2547695747645,126.962647927187,정확(리 단위),봉산면,5.0,25.5,관광·숙박(게스트하우스/카페)
71,전라남도 담양군 봉산면 양지리,2022,철거형,단독주택,미동의,도시과,2023-05-15,35.2550942909668,126.944463955221,정확(리 단위),봉산면,5.0,25.5,관광·숙박(게스트하우스/카페)
72,전라남도 담양군 봉산면 양지리,2022,철거형,단독주택,미동의,도시과,2023-05-15,35.2550942909668,126.944463955221,정확(리 단위),봉산면,5.0,25.5,관광·숙박(게스트하우스/카페)
73,전라남도 담양군 봉산면 와우리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.2514908466106,126.933966237053,정확(리 단위),봉산면,5.0,25.5,관광·숙박(게스트하우스/카페)
74,전라남도 담양군 봉산면 와우리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.2514908466106,126.933966237053,정확(리 단위),봉산면,5.0,25.5,관광·숙박(게스트하우스/카페)
75,전라남도 담양군 봉산면 삼지리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.2666401295399,126.939888596218,정확(리 단위),봉산면,5.0,25.5,관광·숙박(게스트하우스/카페)
76,전라남도 담양군 봉산면 삼지리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.2666401295399,126.939888596218,정확(리 단위),봉산면,5.0,25.5,관광·숙박(게스트하우스/카페)
77,전라남도 담양군 봉산면 삼지리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.2666401295399,126.939888596218,정확(리 단위),봉산면,5.0,25.5,관광·숙박(게스트하우스/카페)
78,전라남도 담양군 봉산면 삼지리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.2666401295399,126.939888596218,정확(리 단위),봉산면,5.0,25.5,관광·숙박(게스트하우스/카페)
79,전라남도 담양군 고서면 교산리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.2181076420574,126.985646701851,정확(리 단위),고서면,12.0,29.9,관광·숙박(게스트하우스/카페)
80,전라남도 담양군 고서면 교산리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.2181076420574,126.985646701851,정확(리 단위),고서면,12.0,29.9,관광·숙박(게스트하우스/카페)
81,전라남도 담양군 고서면 교산리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.2181076420574,126.985646701851,정확(리 단위),고서면,12.0,29.9,관광·숙박(게스트하우스/카페)
82,전라남도 담양군 고서면 교산리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.2181076420574,126.985646701851,정확(리 단위),고서면,12.0,29.9,관광·숙박(게스트하우스/카페)
83,전라남도 담양군 고서면 고읍리,2022,철거형,단독주택,미동의,도시과,2023-05-15,35.2078222456607,126.997737674836,정확(리 단위),고서면,12.0,29.9,관광·숙박(게스트하우스/카페)
84,전라남도 담양군 고서면 고읍리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.2078222456607,126.997737674836,정확(리 단위),고서면,12.0,29.9,관광·숙박(게스트하우스/카페)
85,전라남도 담양군 고서면 고읍리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.2078222456607,126.997737674836,정확(리 단위),고서면,12.0,29.9,관광·숙박(게스트하우스/카페)
86,전라남도 담양군 고서면 분향리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.2017789407803,126.987397805748,정확(리 단위),고서면,12.0,29.9,관광·숙박(게스트하우스/카페)
87,전라남도 담양군 고서면 금현리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.1972948173009,126.971950788185,정확(리 단위),고서면,12.0,29.9,관광·숙박(게스트하우스/카페)
88,전라남도 담양군 고서면 금현리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.1972948173009,126.971950788185,정확(리 단위),고서면,12.0,29.9,관광·숙박(게스트하우스/카페)
89,전라남도 담양군 고서면 금현리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.1972948173009,126.971950788185,정확(리 단위),고서면,12.0,29.9,관광·숙박(게스트하우스/카페)
90,전라남도 담양군 고서면 성월리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.2155533254876,126.975195536548,정확(리 단위),고서면,12.0,29.9,관광·숙박(게스트하우스/카페)
91,전라남도 담양군 고서면 성월리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.2155533254876,126.975195536548,정확(리 단위),고서면,12.0,29.9,관광·숙박(게스트하우스/카페)
92,전라남도 담양군 고서면 보촌리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.2179823851859,126.958451506421,정확(리 단위),고서면,12.0,29.9,관광·숙박(게스트하우스/카페)
93,전라남도 담양군 고서면 보촌리,2022,철거형,단독주택,미동의,도시과,2023-05-15,35.2179823851859,126.958451506421,정확(리 단위),고서면,12.0,29.9,관광·숙박(게스트하우스/카페)
94,전라남도 담양군 고서면 보촌리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.2179823851859,126.958451506421,정확(리 단위),고서면,12.0,29.9,관광·숙박(게스트하우스/카페)
95,전라남도 담양군 고서면 보촌리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.2179823851859,126.958451506421,정확(리 단위),고서면,12.0,29.9,관광·숙박(게스트하우스/카페)
96,전라남도 담양군 고서면 보촌리,2022,철거형,단독주택,미동의,도시과,2023-05-15,35.2179823851859,126.958451506421,정확(리 단위),고서면,12.0,29.9,관광·숙박(게스트하우스/카페)
97,전라남도 담양군 고서면 주산리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.234477458113,126.959554855286,정확(리 단위),고서면,12.0,29.9,관광·숙박(게스트하우스/카페)
98,전라남도 담양군 고서면 원강리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.2417909937336,126.94572990896,정확(리 단위),고서면,12.0,29.9,관광·숙박(게스트하우스/카페)
99,전라남도 담양군 고서면 원강리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.2417909937336,126.94572990896,정확(리 단위),고서면,12.0,29.9,관광·숙박(게스트하우스/카페)
100,전라남도 담양군 고서면 원강리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.2417909937336,126.94572990896,정확(리 단위),고서면,12.0,29.9,관광·숙박(게스트하우스/카페)
101,전라남도 담양군 고서면 동운리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.2346769599643,126.978292100385,정확(리 단위),고서면,12.0,29.9,관광·숙박(게스트하우스/카페)
102,전라남도 담양군 고서면 동운리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.2346769599643,126.978292100385,정확(리 단위),고서면,12.0,29.9,관광·숙박(게스트하우스/카페)
