연번,위치주소(지번 비공개),조사년도,빈집유형,주택유형,철거 또는 활용동의,관리부서,데이터기준일자,위도,경도,좌표정확도
68,전라남도 담양군 봉산면 유산리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.2547695747645,126.962647927187,정확(리 단위)
69,전라남도 담양군 봉산면 유산리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.2547695747645,126.962647927187,정확(리 단위)
70,전라남도 담양군 봉산면 유산리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.2547695747645,126.962647927187,정확(리 단위)
71,전라남도 담양군 봉산면 양지리,2022,철거형,단독주택,미동의,도시과,2023-05-15,35.2550942909668,126.944463955221,정확(리 단위)
72,전라남도 담양군 봉산면 양지리,2022,철거형,단독주택,미동의,도시과,2023-05-15,35.2550942909668,126.944463955221,정확(리 단위)
73,전라남도 담양군 봉산면 와우리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.2514908466106,126.933966237053,정확(리 단위)
74,전라남도 담양군 봉산면 와우리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.2514908466106,126.933966237053,정확(리 단위)
75,전라남도 담양군 봉산면 삼지리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.2666401295399,126.939888596218,정확(리 단위)
76,전라남도 담양군 봉산면 삼지리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.2666401295399,126.939888596218,정확(리 단위)
77,전라남도 담양군 봉산면 삼지리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.2666401295399,126.939888596218,정확(리 단위)
78,전라남도 담양군 봉산면 삼지리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.2666401295399,126.939888596218,정확(리 단위)
79,전라남도 담양군 고서면 교산리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.2181076420574,126.985646701851,정확(리 단위)
80,전라남도 담양군 고서면 교산리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.2181076420574,126.985646701851,정확(리 단위)
81,전라남도 담양군 고서면 교산리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.2181076420574,126.985646701851,정확(리 단위)
82,전라남도 담양군 고서면 교산리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.2181076420574,126.985646701851,정확(리 단위)
83,전라남도 담양군 고서면 고읍리,2022,철거형,단독주택,미동의,도시과,2023-05-15,35.2078222456607,126.997737674836,정확(리 단위)
84,전라남도 담양군 고서면 고읍리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.2078222456607,126.997737674836,정확(리 단위)
85,전라남도 담양군 고서면 고읍리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.2078222456607,126.997737674836,정확(리 단위)
86,전라남도 담양군 고서면 분향리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.2017789407803,126.987397805748,정확(리 단위)
87,전라남도 담양군 고서면 금현리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.1972948173009,126.971950788185,정확(리 단위)
88,전라남도 담양군 고서면 금현리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.1972948173009,126.971950788185,정확(리 단위)
89,전라남도 담양군 고서면 금현리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.1972948173009,126.971950788185,정확(리 단위)
90,전라남도 담양군 고서면 성월리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.2155533254876,126.975195536548,정확(리 단위)
91,전라남도 담양군 고서면 성월리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.2155533254876,126.975195536548,정확(리 단위)
92,전라남도 담양군 고서면 보촌리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.2179823851859,126.958451506421,정확(리 단위)
93,전라남도 담양군 고서면 보촌리,2022,철거형,단독주택,미동의,도시과,2023-05-15,35.2179823851859,126.958451506421,정확(리 단위)
94,전라남도 담양군 고서면 보촌리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.2179823851859,126.958451506421,정확(리 단위)
95,전라남도 담양군 고서면 보촌리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.2179823851859,126.958451506421,정확(리 단위)
96,전라남도 담양군 고서면 보촌리,2022,철거형,단독주택,미동의,도시과,2023-05-15,35.2179823851859,126.958451506421,정확(리 단위)
97,전라남도 담양군 고서면 주산리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.234477458113,126.959554855286,정확(리 단위)
98,전라남도 담양군 고서면 원강리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.2417909937336,126.94572990896,정확(리 단위)
99,전라남도 담양군 고서면 원강리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.2417909937336,126.94572990896,정확(리 단위)
100,전라남도 담양군 고서면 원강리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.2417909937336,126.94572990896,정확(리 단위)
101,전라남도 담양군 고서면 동운리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.2346769599643,126.978292100385,정확(리 단위)
102,전라남도 담양군 고서면 동운리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.2346769599643,126.978292100385,정확(리 단위)
103,전라남도 담양군 고서면 동운리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.2346769599643,126.978292100385,정확(리 단위)
104,전라남도 담양군 가사문학면 학선리,2022,철거형,단독주택,미동의,도시과,2023-05-15,35.1893218064153,126.98387745098,정확(리 단위)
105,전라남도 담양군 가사문학면 지곡리,2022,철거형,단독주택,미동의,도시과,2023-05-15,35.1889583947471,127.009038425021,정확(리 단위)
106,전라남도 담양군 가사문학면 연천리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.1806374351576,127.029466301999,정확(리 단위)
107,전라남도 담양군 가사문학면 연천리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.1806374351576,127.029466301999,정확(리 단위)
108,전라남도 담양군 가사문학면 연천리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.1806374351576,127.029466301999,정확(리 단위)
109,전라남도 담양군 가사문학면 연천리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.1806374351576,127.029466301999,정확(리 단위)
110,전라남도 담양군 가사문학면 정곡리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.1526462614998,127.022897701358,정확(리 단위)
111,전라남도 담양군 가사문학면 정곡리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.1526462614998,127.022897701358,정확(리 단위)
112,전라남도 담양군 가사문학면 경상리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.1536285061707,127.043504398435,정확(리 단위)
113,전라남도 담양군 가사문학면 무동리,2022,철거형,단독주택,미동의,도시과,2023-05-15,35.1386981410942,127.044088988748,정확(리 단위)
114,전라남도 담양군 가사문학면 무동리,2022,철거형,단독주택,동의,도시과,2023-05-15,35.1386981410942,127.044088988748,정확(리 단위)
115,전라남도 담양군 가사문학면 구산리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.1355360204812,127.079668722563,정확(리 단위)
