연번,위치주소(지번 비공개),조사년도,빈집유형,주택유형,철거 또는 활용동의,관리부서,데이터기준일자
105,전라남도 담양군 가사문학면 지곡리,2022,철거형,단독주택,미동의,도시과,2023-05-15
106,전라남도 담양군 가사문학면 연천리,2022,활용형,단독주택,미동의,도시과,2023-05-15
107,전라남도 담양군 가사문학면 연천리,2022,활용형,단독주택,미동의,도시과,2023-05-15
108,전라남도 담양군 가사문학면 연천리,2022,활용형,단독주택,미동의,도시과,2023-05-15
109,전라남도 담양군 가사문학면 연천리,2022,활용형,단독주택,미동의,도시과,2023-05-15
110,전라남도 담양군 가사문학면 정곡리,2022,활용형,단독주택,미동의,도시과,2023-05-15
111,전라남도 담양군 가사문학면 정곡리,2022,활용형,단독주택,미동의,도시과,2023-05-15
112,전라남도 담양군 가사문학면 경상리,2022,활용형,단독주택,미동의,도시과,2023-05-15
113,전라남도 담양군 가사문학면 무동리,2022,철거형,단독주택,미동의,도시과,2023-05-15
114,전라남도 담양군 가사문학면 무동리,2022,철거형,단독주택,동의,도시과,2023-05-15
115,전라남도 담양군 가사문학면 구산리,2022,활용형,단독주택,미동의,도시과,2023-05-15
116,전라남도 담양군 가사문학면 구산리,2022,활용형,단독주택,미동의,도시과,2023-05-15
117,전라남도 담양군 가사문학면 구산리,2022,철거형,단독주택,미동의,도시과,2023-05-15
118,전라남도 담양군 가사문학면 가암리,2022,활용형,단독주택,미동의,도시과,2023-05-15
119,전라남도 담양군 가사문학면 가암리,2022,활용형,단독주택,동의,도시과,2023-05-15
120,전라남도 담양군 가사문학면 가암리,2022,활용형,단독주택,미동의,도시과,2023-05-15
121,전라남도 담양군 가사문학면 풍암리,2022,활용형,단독주택,미동의,도시과,2023-05-15
122,전라남도 담양군 가사문학면 풍암리,2022,철거형,단독주택,미동의,도시과,2023-05-15
123,전라남도 담양군 가사문학면 풍암리,2022,활용형,단독주택,미동의,도시과,2023-05-15
124,전라남도 담양군 창평면 창평리,2022,철거형,단독주택,미동의,도시과,2023-05-15
125,전라남도 담양군 창평면 삼천리,2022,활용형,단독주택,미동의,도시과,2023-05-15
126,전라남도 담양군 창평면 삼천리,2022,활용형,단독주택,미동의,도시과,2023-05-15
127,전라남도 담양군 창평면 용수리,2022,철거형,단독주택,미동의,도시과,2023-05-15
128,전라남도 담양군 창평면 유천리,2022,활용형,단독주택,미동의,도시과,2023-05-15
129,전라남도 담양군 창평면 오강리,2022,활용형,단독주택,미동의,도시과,2023-05-15
130,전라남도 담양군 창평면 오강리,2022,철거형,단독주택,미동의,도시과,2023-05-15
131,전라남도 담양군 창평면 오강리,2022,활용형,단독주택,미동의,도시과,2023-05-15
132,전라남도 담양군 창평면 오강리,2022,활용형,단독주택,미동의,도시과,2023-05-15
133,전라남도 담양군 창평면 오강리,2022,활용형,단독주택,동의,도시과,2023-05-15
134,전라남도 담양군 창평면 유곡리,2022,활용형,단독주택,미동의,도시과,2023-05-15
135,전라남도 담양군 창평면 유곡리,2022,활용형,단독주택,미동의,도시과,2023-05-15
136,전라남도 담양군 창평면 유곡리,2022,활용형,단독주택,미동의,도시과,2023-05-15
137,전라남도 담양군 창평면 해곡리,2022,활용형,단독주택,미동의,도시과,2023-05-15
138,전라남도 담양군 창평면 광덕리,2022,활용형,단독주택,미동의,도시과,2023-05-15
139,전라남도 담양군 창평면 광덕리,2022,활용형,단독주택,미동의,도시과,2023-05-15
140,전라남도 담양군 창평면 외동리,2022,활용형,단독주택,미동의,도시과,2023-05-15
141,전라남도 담양군 창평면 외동리,2022,활용형,단독주택,미동의,도시과,2023-05-15
142,전라남도 담양군 대덕면 매산리,2022,활용형,단독주택,미동의,도시과,2023-05-15
143,전라남도 담양군 대덕면 매산리,2022,활용형,단독주택,미동의,도시과,2023-05-15
144,전라남도 담양군 대덕면 매산리,2022,활용형,단독주택,미동의,도시과,2023-05-15
145,전라남도 담양군 대덕면 매산리,2022,활용형,단독주택,미동의,도시과,2023-05-15
146,전라남도 담양군 대덕면 장산리,2022,활용형,단독주택,미동의,도시과,2023-05-15
147,전라남도 담양군 대덕면 장산리,2022,활용형,단독주택,미동의,도시과,2023-05-15
148,전라남도 담양군 대덕면 장산리,2022,활용형,단독주택,미동의,도시과,2023-05-15
149,전라남도 담양군 대덕면 장산리,2022,활용형,단독주택,미동의,도시과,2023-05-15
150,전라남도 담양군 대덕면 장산리,2022,철거형,단독주택,미동의,도시과,2023-05-15
151,전라남도 담양군 대덕면 비차리,2022,활용형,단독주택,미동의,도시과,2023-05-15
152,전라남도 담양군 대덕면 비차리,2022,활용형,단독주택,미동의,도시과,2023-05-15
153,전라남도 담양군 대덕면 비차리,2022,활용형,단독주택,미동의,도시과,2023-05-15
154,전라남도 담양군 대덕면 비차리,2022,활용형,단독주택,미동의,도시과,2023-05-15
155,전라남도 담양군 대덕면 금산리,2022,철거형,단독주택,미동의,도시과,2023-05-15
156,전라남도 담양군 대덕면 금산리,2022,활용형,단독주택,미동의,도시과,2023-05-15
157,전라남도 담양군 대덕면 금산리,2022,활용형,단독주택,미동의,도시과,2023-05-15
158,전라남도 담양군 대덕면 금산리,2022,활용형,단독주택,미동의,도시과,2023-05-15
159,전라남도 담양군 대덕면 성곡리,2022,활용형,단독주택,미동의,도시과,2023-05-15
160,전라남도 담양군 대덕면 성곡리,2022,활용형,단독주택,미동의,도시과,2023-05-15
161,전라남도 담양군 대덕면 성곡리,2022,활용형,단독주택,미동의,도시과,2023-05-15
162,전라남도 담양군 대덕면 성곡리,2022,철거형,단독주택,미동의,도시과,2023-05-15
163,전라남도 담양군 대덕면 성곡리,2022,철거형,단독주택,미동의,도시과,2023-05-15
164,전라남도 담양군 대덕면 성곡리,2022,활용형,단독주택,미동의,도시과,2023-05-15
165,전라남도 담양군 대덕면 성곡리,2022,활용형,단독주택,미동의,도시과,2023-05-15
166,전라남도 담양군 대덕면 성곡리,2022,활용형,단독주택,미동의,도시과,2023-05-15
167,전라남도 담양군 대덕면 성곡리,2022,활용형,단독주택,미동의,도시과,2023-05-15
168,전라남도 담양군 대덕면 성곡리,2022,활용형,단독주택,미동의,도시과,2023-05-15
169,전라남도 담양군 대덕면 문학리,2022,활용형,단독주택,미동의,도시과,2023-05-15
170,전라남도 담양군 대덕면 문학리,2022,활용형,단독주택,미동의,도시과,2023-05-15
171,전라남도 담양군 대덕면 운암리,2022,활용형,단독주택,미동의,도시과,2023-05-15
172,전라남도 담양군 대덕면 운암리,2022,활용형,단독주택,미동의,도시과,2023-05-15
173,전라남도 담양군 대덕면 운암리,2022,활용형,단독주택,미동의,도시과,2023-05-15
174,전라남도 담양군 대덕면 용대리,2022,활용형,단독주택,미동의,도시과,2023-05-15
175,전라남도 담양군 대덕면 용대리,2022,활용형,단독주택,미동의,도시과,2023-05-15
176,전라남도 담양군 대덕면 갈전리,2022,활용형,단독주택,미동의,도시과,2023-05-15
177,전라남도 담양군 대덕면 갈전리,2022,활용형,단독주택,미동의,도시과,2023-05-15
178,전라남도 담양군 대덕면 운산리,2022,활용형,단독주택,미동의,도시과,2023-05-15
179,전라남도 담양군 대덕면 운산리,2022,활용형,단독주택,미동의,도시과,2023-05-15
180,전라남도 담양군 대덕면 운산리,2022,활용형,단독주택,미동의,도시과,2023-05-15
181,전라남도 담양군 무정면 봉안리,2022,활용형,단독주택,미동의,도시과,2023-05-15
182,전라남도 담양군 무정면 봉안리,2022,활용형,단독주택,미동의,도시과,2023-05-15
183,전라남도 담양군 무정면 봉안리,2022,활용형,단독주택,미동의,도시과,2023-05-15
184,전라남도 담양군 무정면 봉안리,2022,활용형,단독주택,미동의,도시과,2023-05-15
185,전라남도 담양군 무정면 봉안리,2022,활용형,단독주택,미동의,도시과,2023-05-15
186,전라남도 담양군 무정면 오룡리,2022,활용형,단독주택,동의,도시과,2023-05-15
187,전라남도 담양군 무정면 오룡리,2022,활용형,단독주택,미동의,도시과,2023-05-15
188,전라남도 담양군 무정면 오룡리,2022,활용형,단독주택,미동의,도시과,2023-05-15
189,전라남도 담양군 무정면 오룡리,2022,철거형,단독주택,미동의,도시과,2023-05-15
190,전라남도 담양군 무정면 오룡리,2022,활용형,단독주택,미동의,도시과,2023-05-15
191,전라남도 담양군 무정면 오룡리,2022,활용형,단독주택,미동의,도시과,2023-05-15
192,전라남도 담양군 무정면 오봉리,2022,활용형,단독주택,미동의,도시과,2023-05-15
193,전라남도 담양군 무정면 오봉리,2022,활용형,단독주택,미동의,도시과,2023-05-15
194,전라남도 담양군 무정면 오봉리,2022,활용형,단독주택,미동의,도시과,2023-05-15
195,전라남도 담양군 무정면 오봉리,2022,활용형,단독주택,미동의,도시과,2023-05-15
196,전라남도 담양군 무정면 영천리,2022,활용형,단독주택,미동의,도시과,2023-05-15
197,전라남도 담양군 무정면 영천리,2022,활용형,단독주택,미동의,도시과,2023-05-15
198,전라남도 담양군 무정면 영천리,2022,활용형,단독주택,미동의,도시과,2023-05-15
199,전라남도 담양군 무정면 영천리,2022,활용형,단독주택,미동의,도시과,2023-05-15
200,전라남도 담양군 무정면 영천리,2022,활용형,단독주택,미동의,도시과,2023-05-15
201,전라남도 담양군 무정면 영천리,2022,활용형,단독주택,미동의,도시과,2023-05-15
202,전라남도 담양군 무정면 영천리,2022,활용형,단독주택,미동의,도시과,2023-05-15
203,전라남도 담양군 무정면 성도리,2022,활용형,단독주택,미동의,도시과,2023-05-15
204,전라남도 담양군 무정면 성도리,2022,활용형,단독주택,미동의,도시과,2023-05-15
205,전라남도 담양군 무정면 성도리,2022,철거형,단독주택,미동의,도시과,2023-05-15
206,전라남도 담양군 무정면 동산리,2022,활용형,단독주택,미동의,도시과,2023-05-15
